wineries-amalaya-wines-salta-blanco-de-altura-2014;Amalaya Blanco de Corte (Riesling - Torrontés);Salta;2014;--
wineries-bodega-ruca-malen-wines-reserva-malbec-2012;Ruca Malen Malbec Reserva;Valle de Uco;2012;--
wineries-altos-las-hormigas-wines-terroir-malbec-2013;Altos Las Hormigas Malbec Terroir;Valle de Uco;2013;--
wineries-cobos-wines-3502016-mendoza-felino-chardonnay-2013;Viña Cobos Felino Chardonnay;Mendoza;2013;--
wineries-elsa-bianchi-wines-malbec-2015;Elsa Bianchi Malbec;Mendoza;2015;--
wineries-dona-paula-wines-estate-malbec-2015;Doña Paula Estate Malbec;Tupungato;2015;--
wineries-piedra-negra-wines-reserve-malbec-2013;Bodega Piedra Negra Reserve Malbec;Mendoza;2013;--
wineries-ar-mascota-vineyards-wines-gran-mendoza-malbec-2013;Mascota Vineyards Gran Mascota Malbec;Mendoza;2013;--
wineries-ar-rutini-wines-trumpeter-cabernet-sauvignon-2014;Rutini Trumpeter Cabernet Sauvignon;Maipu;2014;--
wineries-norton-wines-reserva-malbec-2014;Norton Reserva Malbec;Lujan de Cuyo;2014;--
wineries-catena-zapata-wines-catena-alta-mendoza-malbec-2013;Catena Zapata Catena Alta Malbec;Mendoza;2013;--
wineries-bodega-vistalba-wines-corte-b-2013;Bodega Vistalba Corte B;Mendoza;2013;--
wineries-bodega-vistalba-wines-corte-b-2012;Bodega Vistalba Corte B;Mendoza;2012;--
wineries-mendel-winery-wines-unus-mendoza-2011;Mendel Unus;Mendoza;2011;--
wineries-ar-bodega-noemia-wines-patagonia-j-alberto-2013;Bodega Noemìa J. Alberto;Rio Negro;2013;--
wineries-bodega-vistalba-wines-corte-a-2014;Bodega Vistalba Corte A;Mendoza;2014;--
wineries-bressia-wines-monteagrelo-mendoza-syrah-2013;Bressia Monteagrelo Syrah;Mendoza;2013;--
wineries-alicia-wines-san-alberto-tiara-2014;Viña Alicia Tiara;Lujan de Cuyo;2014;--
wineries-dieter-meier-puro-wines-dieter-meiers-extra-brut-des-andes-8888;Dieter Meier Ojo De Agua Des Andes Extra Brut;Lujan de Cuyo;--;--
wineries-ar-diamandes-wines-de-uco-chardonnay-grande-reserve-2013;DiamAndes Grande Reserve Chardonnay;Valle de Uco;2013;--
wineries-amalaya-wines-amalaya-gran-corte-2014;Amalaya Gran Corte;Salta;2014;--
wineries-norton-wines-gernot-langes-2006;Norton Gernot Langes;Lujan de Cuyo;2006;--
wineries-ar-zorzal-wines-mendoza-piantao-tupungato-cabernet-franc-2011;Zorzal Piantao;Tupungato;2011;--
wineries-ar-bodega-el-esteco-wines-altimvs-mmx-2011;Bodega El Esteco Altimus MMX;Salta;2011;--
